CPD_ID,DO_CHEMISTRY,CHEMISTRY_COMMENT,MW,MW_DES,ALOGP,ALOGP_DES,HBD,HBD_DES,HBA,HBA_DES,PSA,PSA_DES,ROTB,ROTB_DES,AROM,AROM_DES,ALERTS,ALERTS_DES,UNWEIGHTED_QED,QED
14352,NO,too simple,213.25354,0.531,0.481,0.624,1,0.987,3,0.985,71.62,0.934,3,0.993,1,0.827,1,0.64,0.794,0.742
14353,NO,too simple,166.28315,0.273,3.048,0.996,0,0.592,1,0.233,25.3,0.73,4,0.97,1,0.827,1,0.64,0.587,0.631
14354,NO,too simple,214.32595,0.538,4.276,0.776,0,0.592,1,0.233,25.3,0.73,4,0.97,2,0.938,1,0.64,0.629,0.697
14355,NO,too simple,277.29574,0.938,2.833,1,0,0.592,4,0.887,88.34,0.802,4,0.97,2,0.938,2,0.241,0.736,0.635
14356,NO,too simple,172.20162,0.299,0.503,0.631,0,0.592,4,0.887,68.67,0.952,3,0.993,0,0.472,1,0.64,0.64,0.581
14357,NO,too simple,329.81466,0.959,3.128,0.992,0,0.592,1,0.233,12.89,0.452,1,0.637,1,0.827,2,0.241,0.543,0.57
14358,NO,too simple,282.09341,0.956,1.585,0.899,2,0.792,4,0.887,85.48,0.828,3,0.993,1,0.827,2,0.241,0.749,0.651
14359,NO,too simple,191.26948,0.395,1.578,0.898,1,0.987,2,0.93,23.47,0.691,1,0.637,1,0.827,0,0.842,0.75,0.728
14360,NO,too simple,205.68184,0.481,0.969,0.765,1,0.987,2,0.93,38.33,0.933,4,0.97,0,0.472,1,0.64,0.743,0.695
14361,NO,too simple,205.68184,0.481,0.969,0.765,1,0.987,2,0.93,38.33,0.933,4,0.97,0,0.472,1,0.64,0.743,0.695
14362,NO,too simple,556.81272,0.09,4.98,0.478,10,0.006,5,0.726,192.88,0.074,19,0.009,1,0.827,4,0.027,0.086,0.05
14363,NO,too simple,200.32106,0.448,2.021,0.958,2,0.792,2,0.93,55.12,0.999,9,0.293,0,0.472,1,0.64,0.64,0.559
14364,NO,too simple,210.27282,0.511,1.663,0.911,2,0.792,4,0.887,54.38,1,6,0.689,1,0.827,0,0.842,0.793,0.749
